YEAR,CASENUM,WEIGHT,A_CRAINJ,A_INTER,A_RELRD,A_INTSEC,A_JUNC,A_MANCOL,A_TOD,A_DOW,A_CT,A_HR,A_LT,A_MC,A_SPCRA,A_PED,A_PEDAL,A_ROLL,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24
2016,201600014311,194.7801394,3,2,1,2,2,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2016,201600014315,165.3935056,2,2,1,1,1,3,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600014316,28.555240992,2,2,4,2,2,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
2016,201600014335,281.52560008,3,2,1,1,1,3,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600014586,27.227142688,2,2,1,2,3,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2
2016,201600014593,277.67240294,3,2,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2016,201600014603,153.64998972,2,2,1,2,2,2,1,1,3,2,2,2,1,2,2,2,2,2,2,2,1,2,2
2016,201600014610,31.20395565,2,2,1,2,2,5,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
2016,201600014622,180.90621173,3,2,1,1,1,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2016,201600014624,27.227142688,2,2,1,1,1,1,2,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2
2016,201600015222,281.52560008,3,2,1,1,1,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600015227,64.862892048,2,2,1,2,2,2,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600015251,310.33666462,2,2,4,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2
2016,201600015256,211.83899166,3,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1
2016,201600015257,36.599882838,2,2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600015268,36.599882838,2,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2
2016,201600015305,296.03465646,3,2,1,2,2,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600015805,231.64472444,2,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2016,201600015883,231.64472444,2,2,4,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1
2016,201600015924,135.01023111,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2016,201600015934,233.38822308,3,2,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2
2016,201600015940,394.13593868,3,2,4,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2016,201600015944,27.682313656,2,2,1,1,1,4,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600015948,194.7801394,3,2,4,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600015958,165.3935056,2,2,4,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,1
2016,201600015960,80.879856042,2,2,1,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,1
2016,201600015967,281.52560008,3,2,4,2,2,1,1,1,1,2,2,2,1,2,2,2,1,1,1,1,2,2,1
2016,201600016011,233.38822308,3,2,1,2,2,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016014,260.67689294,3,1,1,2,3,5,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2
2016,201600016016,394.13593868,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1
2016,201600016018,231.64472444,2,2,1,2,2,2,1,2,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2
2016,201600016026,51.495582677,2,2,1,1,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2
2016,201600016027,113.29028189,2,2,1,2,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600016163,281.52560008,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600016164,43.065993928,4,2,1,2,2,3,1,1,2,2,2,2,1,2,2,2,1,1,1,1,2,2,1
2016,201600016166,58.656429205,2,2,1,1,1,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600016167,36.199804802,2,2,1,2,3,4,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
2016,201600016169,291.69712199,3,2,4,2,2,1,1,2,1,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600016171,188.76069788,3,1,1,2,2,5,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016175,28.655740707,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016176,58.656429203,2,2,1,2,3,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016184,28.655740707,2,2,4,2,3,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016195,176.27327789,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2016,201600016200,64.862892048,2,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2016,201600016203,194.7801394,3,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016215,165.3935056,2,2,1,1,1,4,1,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2016,201600016218,281.52560008,3,2,1,1,1,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600016237,194.7801394,3,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600016254,31.858619739,2,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2
2016,201600016258,64.862892048,2,2,1,1,1,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016261,281.52560008,3,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600016301,151.65186595,2,2,1,2,2,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016319,194.7801394,3,2,1,2,2,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016321,165.3935056,2,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600016323,291.69712199,3,2,4,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016343,154.65979741,2,2,1,2,3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016363,197.02027472,2,2,1,2,2,5,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016366,58.656429206,2,2,1,1,1,4,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600016371,10.978645282,2,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016399,158.32369924,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016403,135.01023111,2,2,1,1,1,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016410,234.95708197,3,2,1,2,3,2,1,1,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2
2016,201600016422,59.406343078,2,2,1,1,1,4,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1
2016,201600016430,151.65186594,2,2,1,2,2,4,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1
2016,201600016442,577.06260139,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016448,33.564791216,2,2,4,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1
2016,201600016454,577.06260139,3,2,1,1,1,4,1,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,1
2016,201600016488,27.682313656,2,2,1,2,3,4,1,1,2,1,2,2,2,2,2,2,2,2,1,1,2,2,1
2016,201600016493,26.7844624,2,2,1,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1
2016,201600016502,234.95708197,3,2,4,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600016551,158.32369924,3,2,1,2,2,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016581,151.65186594,2,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600016594,234.95708197,3,2,1,1,1,3,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600016608,158.32369924,3,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016637,234.95708197,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600016644,59.406343078,2,2,1,2,2,5,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600016648,26.7844624,2,2,1,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1
