YEAR,CASENUM,VEH_NO,WEIGHT,A_BODY,A_IMP1,A_VROLL,A_SPVEH,A_MOD_YR
2016,201600014311,1,194.7801394,1,2,2,2,2002
2016,201600014311,2,194.7801394,1,5,2,2,2013
2016,201600014315,1,165.3935056,2,2,2,2,1995
2016,201600014315,2,165.3935056,2,2,2,2,2004
2016,201600014316,1,28.555240992,1,2,1,2,2002
2016,201600014335,1,281.52560008,1,2,2,2,2014
2016,201600014335,2,281.52560008,1,2,2,2,2004
2016,201600014586,1,27.227142688,1,2,2,1,1996
2016,201600014593,1,277.67240294,2,2,2,1,1997
2016,201600014593,2,277.67240294,1,4,2,2,2010
2016,201600014603,1,153.64998972,2,2,2,1,2015
2016,201600014603,2,153.64998972,2,4,2,2,2003
2016,201600014603,3,153.64998972,1,4,2,2,2016
2016,201600014603,4,153.64998972,3,4,2,2,2006
2016,201600014610,1,31.20395565,7,4,2,2,2015
2016,201600014610,2,31.20395565,4,2,2,2,2013
2016,201600014622,1,180.90621173,2,2,2,2,2009
2016,201600014622,2,180.90621173,2,5,2,2,2014
2016,201600014624,1,27.227142688,9,1,1,1,2003
2016,201600015222,1,281.52560008,1,3,2,2,2007
2016,201600015222,2,281.52560008,1,2,2,2,1989
2016,201600015227,1,64.862892048,1,2,2,2,2014
2016,201600015227,2,64.862892048,1,4,2,2,2012
2016,201600015227,3,64.862892048,1,4,2,2,2013
2016,201600015251,1,310.33666462,1,2,2,2,2011
2016,201600015256,1,211.83899166,1,2,2,1,2000
2016,201600015256,2,211.83899166,2,4,2,2,2014
2016,201600015257,1,36.599882838,1,3,2,2,1996
2016,201600015268,1,36.599882838,2,2,2,2,2009
2016,201600015305,1,296.03465646,1,2,2,2,2004
2016,201600015805,1,231.64472444,2,2,2,2,1992
2016,201600015805,2,231.64472444,2,5,2,2,2008
2016,201600015883,1,231.64472444,3,2,2,1,2000
2016,201600015924,1,135.01023111,2,2,2,2,2011
2016,201600015924,2,135.01023111,8,4,2,2,2003
2016,201600015934,1,233.38822308,1,4,2,2,2015
2016,201600015934,2,233.38822308,2,2,2,2,2010
2016,201600015940,1,394.13593868,3,3,2,1,2004
2016,201600015944,1,27.682313656,6,2,2,2,2012
2016,201600015944,2,27.682313656,3,5,2,2,2002
2016,201600015948,1,194.7801394,3,2,2,2,2013
2016,201600015958,1,165.3935056,3,2,2,1,1994
2016,201600015960,1,80.879856042,6,2,2,2,2007
2016,201600015960,2,80.879856042,1,4,2,2,2013
2016,201600015967,1,281.52560008,3,2,2,1,1992
2016,201600016011,1,233.38822308,4,5,2,2,2008
2016,201600016011,2,233.38822308,1,2,2,2,2012
2016,201600016014,1,260.67689294,1,2,2,2,2001
2016,201600016014,2,260.67689294,1,3,2,2,1997
2016,201600016016,1,394.13593868,1,4,2,2,2007
2016,201600016016,2,394.13593868,2,2,2,2,2005
2016,201600016018,1,231.64472444,3,2,2,2,2004
2016,201600016018,2,231.64472444,1,2,2,2,2010
2016,201600016018,3,231.64472444,2,4,1,2,1998
2016,201600016026,1,51.495582677,7,1,2,1,2006
2016,201600016027,1,113.29028189,3,2,2,2,2006
2016,201600016027,2,113.29028189,1,2,2,2,2005
2016,201600016163,1,281.52560008,2,2,2,2,2006
2016,201600016163,2,281.52560008,1,4,2,2,2002
2016,201600016164,1,43.065993928,4,2,2,1,2011
2016,201600016164,2,43.065993928,2,2,2,2,2001
2016,201600016166,1,58.656429205,1,2,2,2,2007
2016,201600016166,2,58.656429205,1,2,2,2,2015
2016,201600016167,1,36.199804802,3,2,2,2,2007
2016,201600016167,2,36.199804802,7,3,2,2,2016
2016,201600016169,1,291.69712199,1,2,2,2,2009
2016,201600016171,1,188.76069788,6,3,2,2,2015
2016,201600016171,2,188.76069788,1,5,2,2,2005
2016,201600016175,1,28.655740707,4,2,2,2,2008
2016,201600016175,2,28.655740707,1,4,2,2,2011
2016,201600016176,1,58.656429203,1,2,2,2,2006
2016,201600016176,2,58.656429203,1,2,2,2,2013
2016,201600016184,1,28.655740707,2,2,2,2,2001
2016,201600016195,1,176.27327789,5,2,2,2,1990
2016,201600016195,2,176.27327789,8,4,2,2,2010
2016,201600016200,1,64.862892048,3,2,2,2,2004
2016,201600016200,2,64.862892048,3,4,2,2,2012
2016,201600016203,1,194.7801394,1,2,2,2,2014
2016,201600016215,1,165.3935056,3,2,2,2,2007
2016,201600016215,2,165.3935056,1,2,2,2,2002
2016,201600016215,3,165.3935056,1,2,2,2,2007
2016,201600016218,1,281.52560008,3,2,2,2,2005
2016,201600016218,2,281.52560008,1,3,2,2,1997
2016,201600016237,1,194.7801394,2,2,2,2,2007
2016,201600016237,2,194.7801394,1,4,2,2,2014
2016,201600016254,1,31.858619739,1,2,2,2,2005
2016,201600016258,1,64.862892048,1,2,2,2,2015
2016,201600016258,2,64.862892048,1,2,2,2,2000
2016,201600016261,1,281.52560008,1,2,2,2,2001
2016,201600016261,2,281.52560008,2,4,2,2,2011
2016,201600016301,1,151.65186595,3,5,2,2,2006
2016,201600016301,2,151.65186595,2,3,2,2,2006
2016,201600016319,1,194.7801394,4,3,2,2,2002
2016,201600016319,2,194.7801394,1,5,2,2,2013
2016,201600016321,1,165.3935056,4,2,2,2,2012
2016,201600016321,2,165.3935056,1,4,2,2,2006
2016,201600016323,1,291.69712199,1,2,2,2,2003
2016,201600016343,1,154.65979741,3,5,2,2,2006
2016,201600016343,2,154.65979741,1,2,2,2,2007
2016,201600016363,1,197.02027472,1,3,2,2,2010
2016,201600016363,2,197.02027472,1,5,2,2,2014
2016,201600016366,1,58.656429206,1,3,2,2,2012
2016,201600016366,2,58.656429206,1,2,2,2,2015
2016,201600016371,1,10.978645282,3,2,2,2,2014
2016,201600016371,2,10.978645282,1,4,2,2,2014
2016,201600016399,1,158.32369924,1,2,2,2,2015
2016,201600016399,2,158.32369924,1,4,2,2,2007
2016,201600016403,1,135.01023111,8,5,2,2,2009
2016,201600016403,2,135.01023111,1,2,2,2,2002
2016,201600016410,1,234.95708197,1,2,2,2,2002
2016,201600016410,2,234.95708197,1,4,2,2,2000
2016,201600016422,1,59.406343078,2,2,2,2,2000
2016,201600016422,2,59.406343078,1,5,2,2,2016
2016,201600016430,1,151.65186594,3,2,2,1,2009
2016,201600016430,2,151.65186594,2,4,2,2,2002
2016,201600016442,1,577.06260139,1,2,2,2,2007
2016,201600016442,2,577.06260139,1,4,2,2,2009
2016,201600016448,1,33.564791216,1,2,2,2,2002
2016,201600016454,1,577.06260139,5,2,2,2,1996
2016,201600016454,2,577.06260139,1,5,2,2,2005
2016,201600016488,1,27.682313656,1,2,2,2,2006
2016,201600016488,2,27.682313656,1,2,2,2,2008
2016,201600016493,1,26.7844624,1,2,2,2,2004
2016,201600016502,1,234.95708197,3,2,2,2,2002
2016,201600016551,1,158.32369924,3,2,2,2,2004
2016,201600016551,2,158.32369924,1,5,2,2,2014
2016,201600016581,1,151.65186594,3,2,2,2,2013
2016,201600016581,2,151.65186594,2,3,2,2,2000
2016,201600016594,1,234.95708197,1,2,2,2,1998
2016,201600016594,2,234.95708197,1,2,2,2,2005
2016,201600016608,1,158.32369924,4,2,2,2,2011
2016,201600016608,2,158.32369924,3,4,2,2,2015
2016,201600016637,1,234.95708197,3,2,2,2,2011
2016,201600016637,2,234.95708197,3,4,2,2,1999
2016,201600016644,1,59.406343078,1,5,2,2,2016
2016,201600016644,2,59.406343078,1,3,2,2,2008
2016,201600016648,1,26.7844624,1,2,2,2,2008
2016,201600016762,1,151.65186594,1,2,2,2,1997
2016,201600016836,1,62.253686718,1,2,2,2,1996
2016,201600016836,2,62.253686718,1,4,2,2,2014
2016,201600016851,1,149.15450883,4,3,2,2,2006
2016,201600016851,2,149.15450883,1,2,2,2,2008
2016,201600016856,1,270.98004698,3,3,2,2,1990
2016,201600016856,2,270.98004698,4,5,2,2,2011
2016,201600016866,1,270.98004698,2,5,2,1,1994
2016,201600016876,1,149.15450883,2,2,2,2,2013
2016,201600016876,2,149.15450883,3,4,2,2,2008
2016,201600016894,1,456.08245059,1,2,2,2,2003
2016,201600016894,2,456.08245059,1,4,2,2,2013
2016,201600016905,1,157.67224566,1,2,2,2,1997
2016,201600016905,2,157.67224566,3,4,2,2,2008
2016,201600016912,1,157.24939976,6,2,2,2,2014
2016,201600016912,2,157.24939976,1,5,2,2,2016
2016,201600016913,1,177.47319807,1,2,2,1,2015
2016,201600016913,2,177.47319807,1,2,2,2,2009
2016,201600016915,1,260.67689294,3,5,2,2,2000
2016,201600016915,2,260.67689294,2,5,2,2,2008
2016,201600016919,1,260.67689294,1,2,2,2,2011
2016,201600016919,2,260.67689294,1,4,2,2,2008
2016,201600016926,1,157.67224566,1,4,2,1,2002
2016,201600016941,1,177.47319807,3,2,2,2,2012
2016,201600016941,2,177.47319807,1,4,2,2,2007
2016,201600016941,3,177.47319807,1,4,2,2,2009
2016,201600016943,1,260.67689294,3,4,2,2,2006
2016,201600016943,2,260.67689294,2,2,2,2,2011
2016,201600016945,1,157.67224566,1,5,2,2,2009
2016,201600016945,2,157.67224566,1,2,2,2,2001
2016,201600016950,1,177.47319807,2,2,2,2,2007
2016,201600016950,2,177.47319807,1,4,2,2,2015
2016,201600016963,1,177.47319807,1,2,2,2,2015
2016,201600016963,2,177.47319807,1,4,2,2,2016
2016,201600016964,1,36.209745495,1,2,2,2,2000
2016,201600016964,2,36.209745495,2,2,2,2,2007
2016,201600016971,1,177.47319807,1,2,2,2,2005
2016,201600016971,2,177.47319807,5,4,2,2,2016
2016,201600016975,1,260.67689294,3,2,2,2,2000
2016,201600016975,2,260.67689294,3,4,2,2,2008
2016,201600016981,1,62.467137942,1,2,2,2,2014
2016,201600016981,2,62.467137942,1,2,2,2,2013
2016,201600016989,1,260.67689294,1,2,2,2,2010
2016,201600016989,2,260.67689294,3,5,2,2,1995
2016,201600016995,1,177.47319807,1,2,2,2,2015
2016,201600016995,2,177.47319807,2,2,2,2,2008
2016,201600017002,1,62.467137942,3,2,2,2,1999
2016,201600017002,2,62.467137942,3,4,2,2,2015
2016,201600017002,3,62.467137942,2,4,2,2,2002
2016,201600017004,1,157.67224566,1,3,2,2,2013
2016,201600017004,2,157.67224566,2,2,2,2,1999
2016,201600017004,3,157.67224566,1,2,2,2,1999
2016,201600017006,1,260.67689294,1,2,2,2,1999
2016,201600017023,1,33.564791216,1,5,2,2,2005
2016,201600017057,1,33.564791216,1,2,1,2,2007
2016,201600017057,2,33.564791216,3,6,2,2,2014
2016,201600017062,1,577.06260139,1,2,2,2,2006
2016,201600017062,2,577.06260139,4,3,2,2,2007
2016,201600017065,1,167.83530671,1,2,2,2,2014
2016,201600017065,2,167.83530671,1,4,2,2,2014
2016,201600017069,1,33.564791216,6,2,2,2,2014
2016,201600017069,2,33.564791216,2,4,2,2,1997
2016,201600017123,1,367.19319664,3,3,2,2,2006
2016,201600017123,2,367.19319664,3,2,2,2,2005
2016,201600017143,1,225.80416752,1,2,2,2,2008
2016,201600017143,2,225.80416752,1,4,2,2,1995
2016,201600017146,1,42.024510971,1,3,2,2,2014
2016,201600017170,1,86.100736227,1,2,2,1,2002
2016,201600017170,2,86.100736227,1,4,2,2,2012
2016,201600017191,1,42.024510971,3,2,2,2,2007
2016,201600017230,1,86.100736227,1,2,2,2,2014
2016,201600017230,2,86.100736227,2,3,2,2,2001
2016,201600017255,1,42.024510971,1,2,2,2,1998
2016,201600017272,1,86.100736227,1,2,2,2,2015
2016,201600017282,1,249.80542958,3,2,2,2,1993
2016,201600017282,2,249.80542958,3,3,2,2,2013
2016,201600017286,1,60.091008938,1,2,2,2,1999
2016,201600017314,1,157.33485653,1,2,2,2,2014
2016,201600017314,2,157.33485653,2,3,2,2,2014
2016,201600017348,1,166.84760409,3,2,2,2,2013
2016,201600017348,2,166.84760409,3,3,2,2,2013
2016,201600017363,1,256.47416156,1,2,2,2,2005
2016,201600017384,1,154.65979741,1,2,2,2,2004
2016,201600017384,2,154.65979741,1,5,2,2,2007
2016,201600017388,1,158.32369924,1,2,2,2,1997
2016,201600017388,2,158.32369924,1,4,2,2,2015
2016,201600017399,1,27.682313656,2,3,1,2,2003
2016,201600017608,1,188.76069787,2,2,2,2,2001
2016,201600017608,2,188.76069787,6,2,2,2,2012
2016,201600017625,1,197.02027472,1,2,2,2,1997
2016,201600017625,2,197.02027472,1,5,2,2,2014
2016,201600017694,1,151.65186594,1,3,2,1,2011
2016,201600017694,2,151.65186594,1,2,2,2,1995
2016,201600017728,1,52.3217069,2,2,2,2,2009
2016,201600017728,2,52.3217069,1,4,2,2,2015
2016,201600017781,1,291.69712198,1,2,2,2,2010
2016,201600017781,2,291.69712198,2,3,2,2,2001
2016,201600017782,1,167.2367139,6,3,2,2,2009
2016,201600017782,2,167.2367139,6,5,2,2,1997
2016,201600017785,1,141.14367599,1,2,2,2,2007
2016,201600017785,2,141.14367599,1,3,2,2,2008
2016,201600017796,1,256.47416156,3,2,2,2,2000
2016,201600017796,2,256.47416156,1,4,2,2,2005
2016,201600017799,1,166.84760409,1,5,2,2,2013
2016,201600017799,2,166.84760409,1,2,2,2,1995
2016,201600017899,1,291.69712199,3,2,2,2,2007
2016,201600017900,1,58.656429205,1,4,2,2,2012
2016,201600017900,2,58.656429205,1,2,2,2,2011
2016,201600018097,1,197.02027472,1,2,2,2,1995
2016,201600018097,2,197.02027472,1,4,2,2,2012
2016,201600018174,1,348.32450652,1,3,1,1,2000
2016,201600018175,1,33.564791216,1,3,2,2,2006
2016,201600018175,2,33.564791216,1,2,2,2,2006
2016,201600018178,1,167.83530671,1,3,2,2,2014
2016,201600018190,1,456.08245059,3,2,2,2,2011
2016,201600018190,2,456.08245059,1,4,2,2,2006
2016,201600018190,3,456.08245059,1,4,2,2,2013
2016,201600018190,4,456.08245059,3,4,2,2,2005
2016,201600018198,1,348.32450652,4,2,2,2,2004
2016,201600018198,2,348.32450652,1,4,2,2,2006
2016,201600018200,1,33.564791216,1,4,2,2,2008
2016,201600018206,1,577.06260139,3,2,2,2,2003
2016,201600018206,2,577.06260139,1,4,2,2,2004
2016,201600018221,1,157.67224566,2,2,2,1,2003
2016,201600018221,2,157.67224566,1,4,2,2,1999
2016,201600018228,1,62.467137942,5,3,2,2,2016
2016,201600018228,2,62.467137942,2,2,2,2,2003
2016,201600018229,1,36.209745495,3,1,1,1,2004
2016,201600018231,1,260.67689294,4,2,2,1,2010
2016,201600018231,2,260.67689294,1,4,2,1,2006
2016,201600018235,1,157.24939976,6,1,2,2,2006
2016,201600018236,1,177.47319807,1,2,2,2,2009
2016,201600018236,2,177.47319807,1,4,2,2,2014
2016,201600018244,1,36.209745495,3,2,2,2,1995
2016,201600018247,1,36.209745495,4,2,2,1,2008
2016,201600018249,1,177.47319807,1,2,2,2,2014
2016,201600018259,1,62.467137942,4,2,1,1,2012
2016,201600018260,1,36.209745495,3,2,2,1,2003
2016,201600018260,2,36.209745495,3,4,2,2,2012
2016,201600018262,1,177.47319807,1,2,2,2,2015
2016,201600018269,1,260.67689294,3,2,2,2,1995
2016,201600018269,2,260.67689294,3,4,2,2,2006
2016,201600018270,1,177.47319807,2,2,2,2,2015
2016,201600018280,1,260.67689294,1,2,2,2,2007
2016,201600018280,2,260.67689294,3,4,1,2,2007
2016,201600018282,1,34.214877308,1,2,2,2,2004
2016,201600018284,1,177.47319807,1,2,2,2,2010
2016,201600018284,2,177.47319807,3,4,2,2,2016
2016,201600018293,1,62.467137942,1,2,2,2,2012
2016,201600018293,2,62.467137942,2,4,2,2,2011
2016,201600018293,3,62.467137942,1,4,2,2,2013
2016,201600018293,4,62.467137942,2,4,2,2,2012
2016,201600018294,1,177.47319807,2,4,2,2,2004
2016,201600018294,2,177.47319807,1,3,2,2,2013
2016,201600018300,1,260.67689294,3,1,1,2,2004
2016,201600018302,1,177.47319807,1,2,2,2,2002
2016,201600018302,2,177.47319807,3,4,2,2,2014
2016,201600018309,1,62.467137942,1,2,2,2,1996
2016,201600018309,2,62.467137942,1,2,2,2,2013
2016,201600018313,1,260.67689294,1,2,2,2,2003
2016,201600018313,2,260.67689294,3,4,2,2,2007
2016,201600018315,1,177.47319807,1,2,2,2,2013
2016,201600018315,2,177.47319807,1,4,2,2,2012
2016,201600018324,1,177.47319807,1,2,2,2,2015
2016,201600018324,2,177.47319807,1,2,2,2,1999
2016,201600018326,1,157.24939976,1,4,2,2,2014
2016,201600018326,2,157.24939976,6,4,2,2,2012
2016,201600018333,1,157.67224566,2,2,2,2,2011
2016,201600018333,2,157.67224566,3,2,2,2,2005
2016,201600018335,1,260.67689294,1,2,2,2,2001
2016,201600018335,2,260.67689294,2,4,2,2,2004
2016,201600018344,1,177.47319807,1,2,2,2,2013
2016,201600018344,2,177.47319807,1,4,2,2,2013
2016,201600018351,1,157.67224566,2,2,2,2,1994
2016,201600018351,2,157.67224566,1,2,2,1,1981
2016,201600018353,1,36.209745495,1,1,1,1,2005
2016,201600018356,1,36.209745495,1,2,2,2,2007
2016,201600018356,2,36.209745495,2,4,2,2,2011
2016,201600018357,1,177.47319807,1,2,2,2,2005
2016,201600018357,2,177.47319807,1,4,2,2,2015
2016,201600018358,1,260.67689294,1,2,2,2,2008
2016,201600018358,2,260.67689294,3,4,2,2,2005
2016,201600018359,1,62.467137942,1,2,2,2,2013
2016,201600018359,2,62.467137942,3,2,2,1,2012
2016,201600018393,1,157.67224566,1,2,2,1,2001
2016,201600018404,1,157.24939976,6,4,2,2,2012
2016,201600018404,2,157.24939976,3,2,2,2,2002
2016,201600018407,1,177.47319807,2,2,2,2,2013
2016,201600018414,1,260.67689294,1,3,2,2,2009
2016,201600018414,2,260.67689294,1,2,2,2,2009
2016,201600018419,1,62.467137942,1,2,2,1,2016
2016,201600018423,1,260.67689294,2,5,2,1,2008
2016,201600018434,1,62.467137942,6,2,2,1,2015
2016,201600018434,2,62.467137942,1,5,2,1,2012
2016,201600018457,1,157.67224566,1,2,2,1,2003
2016,201600018457,2,157.67224566,2,2,2,2,2008
2016,201600018462,1,256.47416156,2,2,2,2,1999
2016,201600018462,2,256.47416156,3,3,2,2,2002
2016,201600018462,3,256.47416156,3,3,2,2,2003
2016,201600018465,1,62.467137942,3,5,2,2,2015
2016,201600018465,2,62.467137942,1,2,2,2,2014
2016,201600018485,1,177.47319807,2,2,2,2,2012
2016,201600018485,2,177.47319807,3,4,2,2,2007
2016,201600018488,1,260.67689294,1,2,2,2,2005
2016,201600018488,2,260.67689294,3,4,2,2,2003
2016,201600018497,1,177.47319807,2,2,2,2,2005
2016,201600018497,2,177.47319807,1,4,2,2,2016
2016,201600018498,1,157.67224566,1,2,2,2,2003
2016,201600018498,2,157.67224566,1,4,2,2,2011
2016,201600018498,3,157.67224566,1,4,2,2,1999
2016,201600018504,1,260.67689294,1,2,2,2,2004
2016,201600018504,2,260.67689294,3,4,2,2,2007
2016,201600018509,1,62.467137942,3,2,2,2,2004
2016,201600018509,2,62.467137942,1,2,2,2,2015
2016,201600018518,1,36.209745495,1,2,2,2,2006
2016,201600018518,2,36.209745495,2,4,2,2,2012
2016,201600018518,3,36.209745495,3,4,2,2,2006
2016,201600018518,4,36.209745495,4,4,2,2,2006
2016,201600018526,1,177.47319807,1,2,2,2,2010
2016,201600018526,2,177.47319807,1,5,2,2,2013
2016,201600018528,1,157.67224566,3,2,2,2,2006
2016,201600018528,2,157.67224566,1,4,2,2,2008
2016,201600018535,1,260.67689294,1,2,2,1,2000
2016,201600018535,2,260.67689294,2,4,2,2,2001
2016,201600018535,3,260.67689294,1,4,2,2,2007
2016,201600018545,1,177.47319807,3,4,2,2,2013
2016,201600018545,2,177.47319807,1,2,2,2,2002
2016,201600018548,1,260.67689294,1,2,2,2,2005
2016,201600018548,2,260.67689294,3,2,2,2,2001
2016,201600018554,1,166.84760409,1,2,2,2,1995
2016,201600018554,2,166.84760409,8,4,2,2,2014
2016,201600018567,1,577.06260139,2,5,2,2,2011
2016,201600018567,2,577.06260139,1,2,2,2,2006
2016,201600018567,3,577.06260139,1,5,2,2,2005
2016,201600018569,1,364.43637679,3,5,2,2,2007
2016,201600018569,2,364.43637679,6,3,2,2,2007
2016,201600018572,1,22.291251188,3,2,2,2,2007
2016,201600018572,2,22.291251188,2,4,2,2,1999
2016,201600018572,3,22.291251188,3,4,2,2,2012
2016,201600018576,1,577.06260139,1,2,2,2,1994
2016,201600018576,2,577.06260139,1,4,2,2,2004
2016,201600018582,1,33.564791216,1,2,2,1,1989
2016,201600018587,1,33.564791216,3,2,1,2,2004
2016,201600018592,1,348.32450652,1,2,2,1,2008
